user_id,user_name,anime_id,anime_title,score,status,progress
2,matchai,1,Cowboy Bebop,0,PLANNING,0
2,matchai,6,Trigun,0,PLANNING,16
2,matchai,16,Honey and Clover,0,PLANNING,1
2,matchai,19,Monster,0,PLANNING,0
2,matchai,45,Rurouni Kenshin,0,PLANNING,1
2,matchai,245,GTO: Great Teacher Onizuka,0,PLANNING,0
2,matchai,270,Hellsing,0,PLANNING,0
2,matchai,457,MUSHI-SHI,0,PLANNING,3
2,matchai,777,Hellsing Ultimate,0,PLANNING,0
2,matchai,853,Ouran High School Host Club,0,PLANNING,4
2,matchai,918,Gintama,0,PLANNING,2
2,matchai,934,When They Cry,0,PLANNING,0
2,matchai,1887,Lucky☆Star,0,PLANNING,1
2,matchai,2001,Gurren Lagann,0,PLANNING,3
2,matchai,2251,Baccano!,0,PLANNING,2
2,matchai,2593,the Garden of sinners Chapter 1: Thanatos. (Overlooking View),0,PLANNING,0
2,matchai,2924,ef ~ A Tale of Memories,0,PLANNING,0
2,matchai,2966,Spice and Wolf,0,PLANNING,1
2,matchai,4654,A Certain Magical Index,0,PLANNING,11
2,matchai,6033,Dragon Ball Z Kai,0,PLANNING,29
2,matchai,6114,Rainbow,0,PLANNING,1
2,matchai,6213,A Certain Scientific Railgun,0,PLANNING,1
2,matchai,6682,11eyes,0,PLANNING,0
2,matchai,6811,InuYasha: The Final Act,0,PLANNING,2
2,matchai,8557,Squid Girl,0,PLANNING,1
2,matchai,10165,Nichijou - My Ordinary Life,0,PLANNING,20
2,matchai,10357,Humanity Has Declined,0,PLANNING,2
2,matchai,12189,Hyouka,80,PLANNING,6
2,matchai,12291,Place to Place,0,PLANNING,3
2,matchai,14513,Magi: The Labyrinth of Magic,0,PLANNING,10
2,matchai,14813,My Teen Romantic Comedy SNAFU,0,PLANNING,2
2,matchai,18153,Beyond the Boundary,0,PLANNING,1
2,matchai,17895,Golden Time,0,PLANNING,2
2,matchai,19489,Little Witch Academia: The Enchanted Parade,0,PLANNING,0
2,matchai,16067,A Lull in the Sea,0,PLANNING,3
2,matchai,10800,Chihayafuru,0,PLANNING,0
2,matchai,18397,Attack on Titan OVA,0,PLANNING,0
2,matchai,18897,Nisekoi,0,PLANNING,7
2,matchai,205,Samurai Champloo,0,PLANNING,3
2,matchai,20483,Engaged to the Unidentified,0,PLANNING,2
2,matchai,15225,Hentai Prince & the Stony Cat,0,PLANNING,2
2,matchai,16732,KINMOZA!,0,PLANNING,0
2,matchai,20566,The Disappearance of Nagato Yuki-chan,0,PLANNING,0
2,matchai,20652,Durarara!! X2,0,PLANNING,1
2,matchai,20755,Assassination Classroom,0,PLANNING,1
2,matchai,20514,PSYCHO-PASS: The Movie,0,PLANNING,0
2,matchai,21455,NEW GAME!,0,PLANNING,4
2,matchai,21507,Mob Psycho 100,0,PLANNING,3
2,matchai,433,The Place Promised in Our Early Days,0,PLANNING,0
2,matchai,98035,Fate/Apocrypha,0,PLANNING,2
2,matchai,14719,JoJo's Bizarre Adventure (TV),0,PLANNING,11
2,matchai,21718,Fate/stay night [Heaven's Feel] II. lost butterfly,0,PLANNING,0
2,matchai,21127,Steins;Gate 0,0,PLANNING,0
2,matchai,20693,THE IDOLM@STER CINDERELLA GIRLS,0,PLANNING,3
2,matchai,105310,Fire Force,0,PLANNING,0
2,matchai,109190,Violet Evergarden: Eternity and the Auto Memory Doll,0,PLANNING,0
2,matchai,105333,Dr. STONE,0,PLANNING,4
2,matchai,108577,Her Blue Sky,0,PLANNING,0
2,matchai,114446,Higurashi: When They Cry - GOU,0,PLANNING,3
2,matchai,99916,Kase-san and Morning Glories,0,PLANNING,0
2,matchai,126403,Link Click,0,PLANNING,0
2,matchai,103303,Sparks of Tomorrow,0,PLANNING,0
2,matchai,123899,Sing a Bit of Harmony,0,PLANNING,0
2,matchai,120377,Cyberpunk: Edgerunners,0,PLANNING,0
2,matchai,79,SHUFFLE!,100,COMPLETED,24
2,matchai,199,Spirited Away,0,COMPLETED,1
2,matchai,225,Dragon Ball GT,82,COMPLETED,64
2,matchai,227,FLCL,70,COMPLETED,6
2,matchai,249,InuYasha,86,COMPLETED,167
2,matchai,288,Beyblade,0,COMPLETED,51
2,matchai,431,Howl‘s Moving Castle,94,COMPLETED,1
2,matchai,449,InuYasha the Movie 4: Fire on the Mystic Island,0,COMPLETED,1
2,matchai,450,InuYasha the Movie 2: The Castle Beyond the Looking Glass,0,COMPLETED,1
2,matchai,451,InuYasha the Movie 3: Swords of an Honorable Ruler,0,COMPLETED,1
2,matchai,452,InuYasha the Movie: Affections Touching Across Time,0,COMPLETED,1
2,matchai,481,Yu-Gi-Oh!,0,COMPLETED,224
2,matchai,512,Kiki's Delivery Service,0,COMPLETED,1
2,matchai,523,My Neighbor Totoro,0,COMPLETED,1
2,matchai,527,Pokémon,0,COMPLETED,276
2,matchai,550,Yu☆Gi☆Oh!,0,COMPLETED,27
2,matchai,552,Digimon: Digital Monsters,0,COMPLETED,54
2,matchai,578,Grave of the Fireflies,0,COMPLETED,1
2,matchai,597,The Cat Returns,0,COMPLETED,1
2,matchai,731,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,80,COMPLETED,1
2,matchai,770,Pale Cocoon,0,COMPLETED,1
2,matchai,813,Dragon Ball Z,89,COMPLETED,291
2,matchai,849,The Melancholy of Haruhi Suzumiya,82,COMPLETED,14
2,matchai,874,Digimon Tamers,0,COMPLETED,51
2,matchai,894,Dragon Ball Z: Dead Zone,0,COMPLETED,1
2,matchai,895,Dragon Ball Z: The World's Strongest,0,COMPLETED,1
2,matchai,896,Dragon Ball Z: The Tree of Might,0,COMPLETED,1
2,matchai,900,Dragon Ball Z: Super Android 13!,0,COMPLETED,1
2,matchai,901,Dragon Ball Z: Broly - The Legendary Super Saiyan,0,COMPLETED,1
2,matchai,902,Dragon Ball Z: Bojack Unbound,0,COMPLETED,1
2,matchai,985,Dragon Ball Z: The History of Trunks,0,COMPLETED,1
2,matchai,986,Dragon Ball Z: Bardock – The Father of Goku,0,COMPLETED,1
2,matchai,987,Dragon Ball GT: A Hero's Legacy,0,COMPLETED,1
2,matchai,1030,Pom Poko,0,COMPLETED,1
2,matchai,1535,Death Note,90,COMPLETED,37
2,matchai,1723,Clannad: The Motion Picture,60,COMPLETED,1
2,matchai,1836,Shuffle! Memories,0,COMPLETED,12
2,matchai,1894,Yu-Gi-Oh! The Movie: Pyramid of Light,0,COMPLETED,1
2,matchai,2006,Yu☆Gi☆Oh! (Movie),0,COMPLETED,1
2,matchai,2163,AIKa R-16: VIRGIN MISSION,0,COMPLETED,3
